url,title,author,published_date,likes,tags,content_preview
https://note.com/goto_finance/n/n2edf753c0fe5,誰でもできる決算AI活用 Teslaなどで実演,goto_finance,2025-01-30T17:12:36.000+09:00,1,[],"日本時間けさ、Microsoft, Tesla, Metaの決算がありました。
きょうは決算の評価というより、「AIを使えば、こんな感じで会社のことがわかるよ！」というご紹介をしたいと思います。
英語力も高度なAIセンスも不要。"
https://note.com/okirumama/n/ndc6908cb2fcf,【youtube収益化✖️主婦のAI副業】おきるママのYoutube脱サラ計画へようこそ,okirumama,2025-01-09T21:00:00.000+09:00,1,"['#youtube', '#副業初心者', '#在宅ワーク', '#YouTube収益化', '#副業ママ', '#sns副業', '#youtube収益方法']","note初出版!!!!!たった2ヶ月でなんと！！！！！1,000部販売できましたーーーー！！！！！！！みんなありがとおおおおおお❤️‍🔥❤️‍🔥1/9   20部完売❤️‍🔥1/11  41部完売❤️‍🔥1/12  60部完売❤️‍🔥1/13  80部完売❤️‍🔥1/15 105部完売❤️‍🔥1/22  140部完売❤️‍🔥1/23 170部完売❤️‍🔥1/24 190部完売❤️‍🔥1/25 200部完売❤️‍🔥1/26 230部完売❤️‍🔥1/29 260部完売❤️‍🔥1/29  330部完売😭😭1/30  450部完売🎉1/31   550部完売🎉2/1    650部完売😭2/2    700部完売❤️‍🔥2/6    850部完売❤️‍🔥2/9    950部完売❤️‍🔥2/10  1,000部完売しましたーーーー！！！！！　2/13   1,100部完売❤️‍🔥2/15   1,150部完売❤️‍🔥2/20   1,230部完売❤️‍🔥2/22  1,260部完売❤️‍🔥2/26  1,300部完売😭😭2/28   1,340部完売😭3/3   1,420部完売😳3/3    1,421スタート！！！（随時お値段調整入ります🙏）ワナワナワナワナ🔥🔥
※現在特典のコンサル依頼をたくさんお受けしており少しお時間いただいてます😭しっかり考えて訳に立ててもらえるようにします!!!!!ご理解ください!!!!!社畜なので。すみません。。。
youtubeノウハウについてずーーーっとパワーアップしていくnoteです!!!!今が最安値!!!!!そして購入頂ければこれから更新される内容もずっと見ることができます!!!!"
https://note.com/eminyurumazu/n/n740a8f392c81,【EM208】DeepSeekショックが意味することは？NVIDIA株暴落で半導体関連銘柄は総崩れ！ついにAIバブルの崩壊が始まったのか？,eminyurumazu,2025-01-28T08:37:38.000+09:00,642,[],"エコノミスト、グローバルストラテジスト エミン・ユルマズのメンバーシップです。エミン・ユルマズがこれ…
投資や経済がもっと好きになる！エミン・ユルマズ独自の視点が満載のオリジナル記事を配信
投資や経済がもっと好きになる！エミン・ユルマズ独自の視点が満載のオリジナル記事が読み放題＋音声配信（週1回マーケット解説・月1回note記事解説）などのコンテンツを用意"
https://note.com/hirosetakao/n/n9847d098f67a,「AIのスプートニク・ショック！」でハイテク株が急落,hirosetakao,2025-01-27T16:28:56.000+09:00,768,[],"1月27日（月）海外市場でエヌビディアをはじめとするハイテク株の気配が急落しました。
¥
         2,000
この記事が気に入ったらチップで応援してみませんか？"
https://note.com/natsuki_chimori/n/ne1b90b5e47dc,AIチョットワカル絵描きのイラストその他の生成AIに対する現在のスタンスと建設的な意見,natsuki_chimori,2025-02-28T23:45:23.000+09:00,1,"['#アート', '#生成AI', '#データ', '#AIイラスト']","以前こんな記事を書いたのですが、現在のスタンス等についてまた書きたいと思います。結論から言うと、一部（というより一部以外と表現した方が良いかもしれない）の生成aiとその推進派のことを最低最悪だと思っています。
実は私も修士論文の研究で機械学習(最近aiと呼ばれている(後述しますがこの呼称も不愉快ですが))の一種を作っていました。友人と話していて、専門に近い分野だからこそ見えていることもあるようでしたので、そういう点についても書いていきたいと思います。
以前、医療系のデータを研究のために使わせていただける機会がありました。その際には事前に流出させないなどの同意に一筆書いた記憶があります。データへのアクセスを受け取った時は緊張しましたし、細心の注意を払って扱いました。「でかいデータで何かするぜ！」というタイプの機械学習の研究はデータが無ければ何もできません。データの共有を承諾して下さった人たちには感謝しますし、相手に不利益を与えないのは一筆書かずとも人として当然のことだと思います。"
https://kensuu.com/n/n2f3950019072,AIの図解が上手くなって人生が豊かになってきた,けんすう,2025-03-04T21:50:06.000+09:00,301,"['#youtube', '#プロンプト']","こんにちは！
AIの進化は凄まじいというのは聞き飽きてきたと思うんですが、あと2-3年はこんな感じなのかもしれません。
んで、最近だと、Claude3.7というのが、いい感じに、情報をビジュアルを表示するのが上手いので、話題になっています。"
https://kensuu.com/n/n6059705da8b0,本とか難しい文章などは、AIとMarpでプレゼン資料にしちゃえば読みやすいじゃない,けんすう,2025-02-25T22:17:53.000+09:00,373,['#AI'],"こんにちは！
Claude3.7というものがリリースされて、さらにAI業界が盛り上がっているんですが、ChatGPTとかと比べて「サクッとPDFをあげて、それを資料化する」とかはなんか得意そうだなーと思いました。
なんでかはわかりません！専門家の方に聞いてください！"
https://note.com/goto_finance/n/n33d934dc6375,【日記】AI時代に必要な「ドラえもん」力,goto_finance,2024-12-23T20:33:43.000+09:00,1,[],"この数週間、AIの進化が激しく、私自身の日々の作業もかなり変化しています。
来月リリースのChatGPT「o3」は、またケタ違いに進化しているらしく、数か月後は仕事の進め方もアウトプットも、かなり変わっているかもしれません。
そんななか、ふと「ドラえもん」が頭をよぎりました。"
https://note.com/hirosetakao/n/nc8b30f138459,AIは素晴らしい。でもクリステンセンの定義する「破壊的イノベーション」ではない,hirosetakao,2025-01-24T20:18:13.000+09:00,468,[],"僕はAIのファンで、毎日使っています。AIは素晴らしいと思います。
¥
         1,000
この記事が気に入ったらチップで応援してみませんか？"
https://kensuu.com/n/nf6e0b366c52f,初心者がAIを使うべきシーンはこの6個からがオススメ,けんすう,2025-02-17T21:42:17.000+09:00,457,"['#ChatGPT', '#生成AI']","こんにちは！
海外の記事を読んでいたら「AIを使うべきシーンとそうでないシーン」みたいな記事があって、面白かったので、参考にしつつ、独自の意見も交えてちょっと書いてみます！
当たり前ですが「生成AIが便利だよね」というのと「なんでもAIを使った方がいいよね」は別です。"
https://note.com/goto_finance/n/n0cb890c2e8c9,【1分チェック】イーロンマスク OpenAI買収提案,goto_finance,2025-02-11T11:00:43.000+09:00,1,[],"米メディアが「イーロンマスクがOpenAI買収提案」と伝えています。
報道の要点をまとめると下記の通りです。
いつものように、👇にもう少し補足して、「後藤の視点」を短くまとめますね。"
https://note.com/getawonarashite/n/n7593dbfcc860,【取扱注意】雀魂に彗星のごとく現れた最新AI「MAKA」の秘密,getawonarashite,2025-02-28T21:47:41.000+09:00,140,"['#雀魂', '#naga', '#mortal', '#ゆうせー', '#MAKA']","凄まじいAIですね。
まだまだこれから研究する必要はありますが、"
https://note.com/joyous_deer792/n/ncb0f04bb9045,生成AI時代を人が人らしく行く抜く為に必要なこと。生成AI依存症となり廃人化してしまわぬように人として生きる為に必要なことを考えます。生成AI時代の人としての分かれ道。,joyous_deer792,2025-02-24T07:31:36.000+09:00,131,"['#AI', '#マーケティング', '#経営', '#経営者', '#生成AI', '#経済', '#AIとやってみた', '#マネジメント', '#企業', '#資産形成', '#生成', '#経済学', '#経済指標', '#つみたてNISA', '#AI生成', '#マクロ経済学', '#資産形成コンサルタント', '#模範解答']","公益社団法人日本証券アナリスト協会が認定する資産形成コンサルタント資格を取得致しました。
資産形成コンサルタントとして読者の方の資産形成のお役に立てるような記事を書いて行きます。
経済学や金融理論、投資理論、マーケティング、会計など理論の裏付けのある記事を書いています。"
https://note.com/japantank/n/na7d97b9a809f,AI業界に激震が走った中国製AI・DeepSeekは何が凄いのか?,japantank,2025-01-27T21:37:46.000+09:00,231,"['#中国', '#deepseek', '#性能', '#ゆな先生']","2022年末のChatGPTの公開以来、OpenAIをはじめとして、GoogleのGemini、AnthlopicのClaudeをはじめとする大規模言語モデル（LLM）が世界中で注目を集めてきた。様々な企業が参戦するなかで、人的リソースと資金力の勝負の形相となり、最高スペックのLLMは OpenAIとGoogleの2強になってきていた。そんな中、中国のAI企業DeepSeek社が開発したLLM「DeepSeek」が話題となっている。DeepSeekが西側諸国で一般人にも本格的に話題になり始めたのは2024年12月の「DeepSeek V3」からであるが、2025年1月には「DeepSeek R1」を公開し、AIの性能世界ランキングでもいよいよトップランクに入るようになり、世界の株式市場に巨大な影響をもたらしている。
本稿では、DeepSeekの製品・サービス、技術、特徴を分析し、OpenAIやGoogleと比較することで、DeepSeekの強みと可能性、その影響について考察していく。
■なにをするコミュニティか
「投資をわかりやすく解説する」コミュニティです。
最新のAI技術、経済ニュースや決算の分析、投資の基本などを、投資や技術の知識がない方にもわかりやすく解説します。


■活動方針や頻度
・基本プラン（月500円）では過去の記事読み放題です。"
https://note.com/goto_finance/n/n1a8edafbed01,植田総裁会見「後藤×AI」まとめ,goto_finance,2024-12-19T15:00:00.000+09:00,1,[],"日銀の植田総裁の記者会見まとめです。
経済ニュースや投資のキホンをわかりやすく
この記事が気に入ったらチップで応援してみませんか？"
https://note.com/eminyurumazu/n/nb2f173986aee,【EM205】バイデン政権の置き土産がトランプに降りかかる！すべて飲めばAIバブル崩壊？半導体関連に要注意！,eminyurumazu,2025-01-19T12:15:52.000+09:00,483,[],"エコノミスト、グローバルストラテジスト エミン・ユルマズのメンバーシップです。エミン・ユルマズがこれ…
投資や経済がもっと好きになる！エミン・ユルマズ独自の視点が満載のオリジナル記事を配信
投資や経済がもっと好きになる！エミン・ユルマズ独自の視点が満載のオリジナル記事が読み放題＋音声配信（週1回マーケット解説・月1回note記事解説）などのコンテンツを用意"
https://note.com/goto_finance/n/ncd2e4d1c3d3c,伝える塾⑪「手書き」の力,goto_finance,2025-02-24T08:00:00.000+09:00,705,[],"生成AIで、きれいな映像や音楽すら、誰でも手軽につくれる時代になりました。
でも「手書き」って、人に刺さる不思議な力がありますよね。
「伝える」――。

メディア関係者だけでなく、営業・接客・教育・医療…あらゆる仕事で大切なスキルです。

話し方、短文、長文、グラフ、パワ…"
https://note.com/joyous_deer792/n/n896a36a61097,生成AIシリーズ三部作の最終章。生成AI時代における人の役割とは？これが私の生きる道を考えて行きます。私自身の生き方を書いて行きます。私自身を赤裸々に書きました。,joyous_deer792,2025-02-03T12:18:27.000+09:00,226,"['#AI', '#生成AI', '#経済', '#資産形成', '#金融', '#経済学', '#経済指標', '#行動経済学', '#金融リテラシー', '#マクロ経済学', '#資産形成コンサルタント']","公益社団法人日本証券アナリスト協会が認定する資産形成コンサルタント資格を取得致しました。
資産形成コンサルタントとして読者の方の資産形成のお役に立てるような記事を書いて行きます。
経済学や金融理論、投資理論、マーケティング、会計など理論の裏付けのある記事を書いています。"
https://kensuu.com/n/nf9618c8401aa,生成AIが怖すぎるからYouTubeを始めたという話,けんすう,2025-02-27T22:13:48.000+09:00,215,[],"こんにちは！
10年くらい前からずっと「YouTubeやらないんですか」とか言われることがあって、いよいよこの5年くらいはみんな周りもやり始めてたけど、動画で話すのが嫌すぎて、ずっと避けてたんですが、いよいよ始めてしまいました。
チャンネル登録を絶対してくれよな！"
